state,location_Title,note,lat,lng
California,Commander's House; Fort Ross,Only original structure at Fort Ross; built 1812 by Russians; also known as Rotchev House.,38.51444444,-123.2436111
California,Donner Camp Sites,Museum and monument to Donner party; trapped by weather during the winter of 1846–1847; resorted to cannibalism to survive,39.32,-120.2416667
California,Drakes Bay Historic and Archeological District,The recognized landing site of Francis Drake in 1579 and Sebastian Rodriguez Cermeño in 1595; and the early interactions between Native Americans and these European visitors.,38.03416667,-122.9408333
California,Eames House (Case Study House #8),Built in 1949 by husband-and-wife design pioneers Charles and Ray Eames; also known as Case Study House No. 8.,34.02972222,-118.5194444
California,Elmshaven (Ellen White House),Ellen Gould White lived and worked here from 1900 until her death in 1915. She was notable for her prophetic ministry which led to the rise of the Seventh-day Adventist Church.,38.535,-122.4780556
California,Estudillo House,Adobe house; constructed in 1827; was considered one of the finest houses in Mexican California.,32.75416667,-117.1969444
California,Eureka (double-ended ferry),Side-wheel paddle steamboat; built in 1890 by the San Francisco and North Pacific Railroad Company; preserved at the San Francisco Maritime National Historical Park. Official plaque located in the San Francisco Maritime National Historical Park Visitor Center; located at the corner of Hyde and Jefferson Streets.,37.8075,-122.4213889
California,USCGC Fir,174 foot U.S. Coast Guard cutter; lighthouse tender; decommissioned.,38.15,-121.6830556
California,First Church of Christ; Scientist,Church designed by Bernard Ralph Maybeck,37.86555556,-122.2555556
California,James C. Flood Mansion,Mansion of James C. Flood; 19th century silver-baron; first brownstone building built west of the Mississippi River; one of the only buildings on Nob Hill to survive the 1906 San Francisco earthquake and fire; purchased by the Pacific-Union Club after the earthquake,37.79194444,-122.4108333
California,Folsom Powerhouse,Built in late 19th century using prison labor from Folsom Prison; first delivered power to Sacramento in 1895; remained in operation until 1952.,38.68055556,-121.1755556
California,Fort Ross,Established by Ivan Kuskov of the Russian-American Company in 1812; thriving settlement from 1812 to 1841,38.5125,-123.2427778
California,Fresno Sanitary Landfill,Opened in 1937; first modern landfill in the U.S.; model for other landfills around the country; and one of the longest-lived.,36.7,-119.8297222
California,David B. Gamble House,Arts and Crafts masterpiece; shows influence from traditional Japanese aesthetics and a certain California spaciousness born of available land and a permissive climate.,34.15166667,-118.1602778
California,González House,Built about 1825 by Don Rafael Gonzales; typical of Mexican-era adobe town houses; adobe walls at least 2' thick,34.42416667,-119.6958333
California,Guajome Ranch House,Spanish Colonial hacienda with two courtyards.,33.23333333,-117.2538889
California,Gunther Island Site 67,An archaeological site surrounding a Wiyot shell midden; located in Tolowot; on Indian Island in Humboldt Bay near Eureka; California. This site helped define the Gunther Pattern in archaeology and was also the site of the 1860 Wiyot Massacre.,40.81,-124.1719444
California,Hale Solar Observatory,Laboratory of George Ellery Hale; inventor of the spectroheliograph; with which he made his discoveries of the solar vortices and magnetic fields of sun spots.,34.13305556,-118.1219444
California,Hanna-Honeycomb House,Located on Stanford University campus; this was Frank Lloyd Wright's first work in the San Francisco region as well as his first work with non-rectangular structures.,37.41611111,-122.1641667
California,Harada House,Property involved in 1916–1918 constitutional test of an alien land law; at issue was the rights of the children of a Japanese immigrant,33.98527778,-117.3691667
California,Hearst San Simeon Estate,"Built by newspaper magnate William Randolph Hearst; open for public tours; Hearst formally named the estate ""La Cuesta Encantada"".",35.685,-121.1677778
California,Hercules (tug),This 1907 steam tug is now a museum ship at the San Francisco Maritime National Historical Park. Official plaque located in the San Francisco Maritime National Historical Park Visitor Center; located at the corner of Hyde and Jefferson Streets.,37.80833333,-122.4211111
California,Lou Henry and Herbert Hoover House,Designed by Lou Henry Hoover; wife of Herbert Hoover; this is where the Hoovers lived before and after his presidency. It is now the official residence of the president of Stanford University,37.41777778,-122.1691667
California,USS Hornet (CVS-12) (aircraft carrier),Essex class aircraft carrier which was commissioned in November 1943. She played a role in the Pacific battles of World War II and then went on to serve in the Vietnam War. It also recovered the Apollo Astronauts as they returned from the Moon.,37.77277778,-122.3027778
California,Hotel del Coronado,The largest beach resort on the North American Pacific Coast; this Victorian building is an iconic symbol of San Diego.,32.68083333,-117.1766667
California,Edwin Hubble House,Home of astronomer Edwin Hubble from 1925 until his death in 1953.,34.12333333,-118.1213889
California,Jeremiah O'Brien (Liberty ship),This Liberty ship is a rare survivor of the 6;939-ship armada that stormed Normandy on D-Day; 1944.,37.80638889,-122.4286111
California,Knight's Ferry Bridge,Historic bridge,37.81944444,-120.6636111
California,La Purisima Mission,"Now a historical park; it is the only example in California of a ""complete"" mission complex.",34.67166667,-120.4225
California,Lake Merritt Wild Duck Refuge,Now known as Lake Merritt park; it is notable for being the first official wildlife refuge in the United States; designated in 1870.,37.80388889,-122.2591667
California,Lane Victory (victory ship),A rare example of a Victory Ship; it is now a still operational museum ship which makes 6 public cruises a year to Catalina Island.,33.71444444,-118.2747222
California,Larkin House,This house; part of the larger landmark district Monterey State Historic Park; combined Spanish building techniques with New England features; creating the Monterey Colonial style of architecture.,36.59888889,-121.8955556
California,Las Flores Adobe,An estancia halfway between two missions; it is now part of a Boy Scout camp located inside Camp Pendleton just off of Interstate 5.,33.3,-117.4611111
California,Leconte Memorial Lodge,Built by the Sierra Club in 1903 in honor of Joseph LeConte; one of the founding members of the Sierra Club. It was a Yosemite visitors center; but is now run by the Sierra Club as a museum and library.,37.73833333,-119.5783333
California,Lightship WAL-605; Relief,A lightvessel now located in Oakland,37.79555556,-122.2805556
California,Little Tokyo Historic District,An ethnic Japanese American district in downtown Los Angeles; one of three official Japantowns in the United States.,34.05055556,-118.2394444
California,Locke Historic District,The largest remaining example of a historic rural Chinese American community; built in 1915.,38.25055556,-121.5097222
California,Jack London Ranch,Home of Jack London from 1905 until his death.,38.35055556,-122.5430556
California,Los Alamos Ranch House,A good example of the Mexican style single story adobe ranch-house located next to the El Camino Real. It was often used as an overnight stop when travelling between Santa Barbara and Monterey.,34.75277778,-120.3222222
California,Los Angeles Memorial Coliseum,The only stadium in the world which has hosted the Summer Olympic Games (1932 /1984); the World Series (1959) and the Super Bowl (1967 /1973). It is currently the home of the USC Trojans football team.,34.01388889,-118.2877778
California,Los Cerritos Ranch House,Largest adobe home built in Southern California during Mexican era.,33.83638889,-118.1944444
California,Lower Klamath National Wildlife Refuge,This national wildlife refuge; established in 1908; was the first large block of public land set aside for wildlife management purposes. Because of the refuge's extensive overlap with the Klamath Basin water reclamation project; it has become an ongoing example of the tensions between conservation and economic demands in public land management.,41.96666667,-121.7666667
California,Manzanar War Relocation Center,The most widely known American forced relocation camp where 11;070 Japanese Americans were imprisoned during World War II.,36.72805556,-118.1544444
California,Mare Island Naval Shipyard,The first US naval facility on the West Coast; it built and supported WWII naval forces as well as nuclear submarines. It closed in 1996 and is currently under redevelopment which is threatening the historic buildings.,38.1,-122.2666667
California,Marin County Civic Center,The last major commission by Frank Lloyd Wright; this government run complex hosts a variety of events including the county fair. Its architecture has led to inclusion in or inspiration for several films. It is also known for two violent attacks in the 1970s.,37.99777778,-122.5305556
California,Mendocino Woodlands Recreational Demonstration Area,The only Recreational Demonstration Area built by the Civilian Conservation Corps that's been continually used as a campground. It has been managed by a nonprofit agency since 1949 and remains in use today as Mendocino Woodlands State Park.,39.32861111,-123.6983333
California,Mission Beach Roller Coaster,One of only 2 remaining wooden coasters on the West coast; it was built in 1925 by noted coaster builders Prior and Church. It was saved from destruction in 1987; restored; and is still operating today.,32.77,-117.25
California,Mission Inn,This hotel has become the largest Mission Revival style through progressive additions and embellishments since its first predecessor cottage was built in 1876. In addition to lodgings; it features shops; a chapel; furniture from around the world; and Tiffany windows.,33.98166667,-117.3716667
California,Mission San Miguel Arcángel,The 16th California Mission church remains well preserved and still in use today though under earthquake remediation construction. Inside are murals by Esteban Munras.,35.74472222,-120.6980556
California,Mission Santa Inés,The 19th California Mission church was the site of an Indian revolt in 1824. It has undergone restoration since the 1940s and is a working parish church today.,34.59444444,-120.1366667
California,Modjeska House,Designed by Stanford White; from 1888 to 1906 this was the home of Helena Modjeska; a Polish patriot and Shakespearean actress.,33.71638889,-117.6238889
California,Monterey Old Town Historic District,Also known as Monterey State Historic Park; this NHLD contains both California's First Theatre; and the Monterey Customs House; where the American flag was first raised over California. It also incorporates the National Historic Landmarked Larkin House known for its leading architecture.,36.59972222,-121.8936111
California,John Muir House,John Muir lived here from 1890 until his death in 1914; the time period of some of his most notable achievements including founding the Sierra Club and laying the groundwork for the creation of the National Park Service. It is open to the public.,37.99166667,-122.1305556
California,Neutra Studio and Residences (VDL Research House),,34.09833333,-118.2605556
California,New Almaden,Also known as Senador; one of the oldest and most productive mercury mines in the United States. It helped ensure the California Gold Rush could take place. Now part of Almaden Quicksilver County Park.,37.18,-121.8355556
California,Richard M. Nixon Birthplace,The birthplace and home of President Richard Milhous Nixon from 1913 to 1922. Now part of the Richard Nixon Presidential Library and Museum,33.88861111,-117.8188889
California,Frank Norris Cabin,Also known as Redwood Retreat this was the home of author Frank Norris in the last year of his life.,37.03638889,-121.7125
California,Nuestra Senora Reina de la Paz,Headquarters of the National Farm Workers Federation; now the Cesar Chavez National Monument. Includes the gravesite of co-founder César Chávez,35.22333333,-118.5636111
California,Oak Grove Butterfield Stage Station,The only surviving station house on the Butterfield Overland Mail stagecoach line. The nearby location of Warner's Ranch was also part of the line.,33.38972222,-116.7941667
California,Old Customhouse,This 1827 Adobe structure is the oldest public building in California and is where the American Flag was raised; declaring California part of the United States. It is now a museum located inside the Monterey State Historic Park; itself a NHLD.,36.59611111,-121.8919444
California,Old Mission Dam,The first major irrigation project on the Pacific coast; this dam supplied water for milling and irrigation at the Mission San Diego de Alcalá; 5 miles away. Now part of Mission Trails Regional Park,32.83805556,-117.0422222
California,Old Sacramento Historic District,Built up after the California Gold Rush; this historic district also includes the NHL locations of the Pony Express Terminal and the Big Four House.,38.58277778,-121.5033333
California,Old Scripps Building,The first building of Scripps Institution of Oceanography; which is the oldest oceanographic institute in the United States. It formed the starting point of what has become the University of California; San Diego.,32.86444444,-117.2525
California,Old United States Mint,Built for the San Francisco Mint in 1874 to handle the overflow from the California Gold Rush; this building is affectionately known as The Granite Lady. It is one of the few survivors of the great 1906 San Francisco earthquake and served until 1937.,37.78277778,-122.4063889
California,Our Lady of Guadalupe Mission Chapel,Now McDonnell Hall; the parish hall of Our Lady of Guadalupe Church; important in the life of activist Cesar Chavez.,37.3525,-121.8447222
California,USS Pampanito (submarine),A Balao class submarine; she served in World War II before becoming a museum ship and part of the San Francisco Maritime National Park Association. She still has several working parts; including the periscopes and a torpedo tube.,37.80861111,-122.4155556
California,Paramount Theatre,The largest theatre on the West Coast when it was built; it is notable for its Art Deco appearance. It is the home of the Oakland East Bay Symphony and the Oakland Ballet and is managed by a nonprofit organization.,37.80944444,-122.2680556
California,Parsons Memorial Lodge,This solidly built structure was the first stone structure in a National Park. It was built by the Sierra Club and is still standing today with only minor variations. It reflects the Bay Area architecture influences of Bernard Maybeck as well as the practical weather concerns of the High Sierra valley.,37.87666667,-119.3666667
California,Petaluma Adobe,The largest example of Monterey Colonial architecture in the United States; this adobe structure was the ranch house of General Mariano Guadalupe Vallejo; commandant of the Sonoma Pueblo. It is now the centerpiece of Petaluma Adobe State Historic Park; which is threatened with closure.,38.25555556,-122.5844444
California,Pioneer Deep Space Station,NASA's Deep Space Network for tracking unmanned spacecraft in deep space was inaugurated when this radio telescope (designated DSS 11) became operational in 1958.,35.3875,-116.8561111
California,Point Reyes Lifeboat Station,Last remaining instance of a USLS rail launched lifeboat station; commonly used on the Pacific coast. This site rescued crews from ships that foundered on Point Reyes. It is now protected as part of the Point Reyes National Seashore.,37.99388889,-122.9738889
California,Pony Express Terminal,The Western end of the Pony Express; this bank building has also served as the first home of the Supreme Court of California. It is now part of the Old Sacramento State Historic Park; itself a National Historic Landmark District.,38.58277778,-121.5041667
California,Potomac (Presidential yacht),Formerly the USCGC Electra; this ship was Franklin Delano Roosevelt’s presidential yacht from 1936 until his death in 1945 and only one of three still existing presidential yachts. On August 3; 1941; she played a decoy role while Roosevelt snuck off to sign the Atlantic Charter. She is now a museum ship.,37.79361111,-122.2788889
California,Presidio of San Francisco,Used as a fortified military base from 1776 to 1995 by Spain; Mexico; and the United States. It is now part of the Golden Gate National Recreation Area and serves a mix of commercial and public uses. It is required to be financially self-supporting by 2013.,37.8,-122.4666667
California,Ralph J. Scott (fireboat),A fireboat for the LAFD from 1925 until its retirement in 2003; it could pump 17;000 US gal/min (1;070 L/s). It is now located near the Los Angeles Maritime Museum.,33.74138889,-118.2788889
California,William C. Ralston Home,Home of William Chapman Ralston; a San Francisco businessman; founder of the Bank of California; and financier of the Comstock Lode. Now part of Notre Dame de Namur University.,37.5175,-122.2861111
California,Rancho Camulos,The home of Ygnacio del Valle; an alcalde of Los Angeles and member of the California State Assembly. The ranch was known as the Home of Ramona because it is likely that the popular 1884 novel Ramona by Helen Hunt Jackson was set there. The novel helped in raising awareness about the Californio lifestyle. It is now a museum.,34.40555556,-118.7566667
California,Rangers' Club,Stephen Tyng Mather; the wealthy first director of the National Park Service personally donated this building to house the newly hired rangers covering Yosemite National Park. Its rustic architecture inspired all National Park construction through WWII.,37.74555556,-119.5866667
California,Rogers Dry Lake,Centerpiece of Edwards Air Force Base; this endorheic desert salt pan in the Mojave Desert has the world's largest Compass Rose and the world's longest runway at 7.2 miles. It is one of the alternate Space Shuttle landing sites.,34.95,-117.8666667
California,Room 307; Gilman Hall; University of California,Room 307 in Gilman Hall at UCB is where Glenn T. Seaborg and his coworkers identified plutonium as a new element on February 23; 1941.,37.87083333,-122.255
California,Rose Bowl,Home field of the UCLA Bruins college football team as well as the annual Rose Bowl Game. It also hosted events from the 1932 and 1984 Summer Olympics,34.15944444,-118.1666667
California,Royal Presidio Chapel,This cathedral is the oldest continuously operating parish; the oldest stone building in California; the smallest cathedral in the United States and one of the two oldest cathedrals in the United States. It is the only existing Presidio cathedral in California and the only original building in the Monterey Presidio.,36.59583333,-121.8902778
California,San Diego Mission Church,This was the first Spanish Mission in Alta California and the start of El Camino Real. Originally located in the Presidio of San Diego; it later moved a few miles away. The nearby Old Mission Dam; also a NHL; provided water for milling and farming.,32.78277778,-117.1063889
California,San Diego Presidio,The first fortified presidio; it along with the first mission; San Diego Mission Church; paved the way for Spanish colonization of California. No structures remain; but the site is now located in Presidio Park.,32.75861111,-117.1933333
California,San Francisco Bay Discovery Site,On November 4; 1769 the expedition of Spanish explorer Gaspar de Portolà reached the summit of the 1;200-foot (370 m) high Sweeney Ridge; where he sighted San Francisco Bay. It is now part of the Golden Gate National Recreation Area.,37.60305556,-122.4547222
California,San Francisco Cable Cars,An iconic image of San Francisco; this is the only remaining permanently operational manually operated cable car system in the world.,37.79555556,-122.4075
California,San Francisco Civic Center,The United Nations Charter was signed here in 1945 as well as the post WWII peace treaty with Japan. This collection of Beaux Arts buildings serves a number of uses; including the Exposition Auditorium from the 1915 Panama-Pacific International Exposition.,37.77972222,-122.4177778
California,San Francisco Port of Embarkation; U.S. Army,Originally built during the American Civil War for coastal defense; this fort became the primary transportation hub in the Pacific for the United States during World War I and World War II. In World War II alone; over 1;647;174 passengers and 23;589;472 tons went through this fort. It is now part of the Golden Gate National Recreation Area,37.80722222,-122.4305556
California,San Juan Bautista Plaza Historic District,A prime example of the Spanish-Mexican colonial plan of buildings surrounding the central plaza and Mission church. The NHLD also includes the Jose Castro House; itself a National Historic Landmark. It was featured prominently in the Hitchcock film Vertigo.,36.84361111,-121.5344444
California,San Luis Rey Mission Church,California's most pristine Spanish Mission Complex; this is the third church at this site.,33.3675,-117.2183333
California,Santa Barbara County Courthouse,Known for the beauty of its Spanish-Colonial Revival architecture; which inspired and influenced many other designers.,34.42444444,-119.7025
California,Santa Barbara Mission,The only Spanish mission in California to remain under the leadership of the Franciscan Friars since the day of its founding.,34.4375,-119.7125
California,Santa Cruz Looff Carousel and Roller Coaster,The Looff family was one of the major early manufacturers of carousels; including this 1911 example. Only five other intact Looff carousels remain in the United States. The 1924 Giant Dipper roller coaster is the older of the two large; wooden scaffolded roller coasters remaining on the West Coast.,36.96444444,-122.0166667
California,Santa Monica Looff Hippodrome,Built by the Looff family to house one of their carousels; this structure now houses a different carousel; but remains a rare example of what was once a much larger amusement complex.,34.01027778,-118.4963889
California,Upton Sinclair House,Home of American novelist Upton Sinclair between 1942 and 1966 and where he wrote most of his later works.,34.16194444,-118.0011111
California,Sonoma Plaza,The largest plaza in California; this was the location of the Bear Flag Revolt in 1846 which led to the Mexican–American War,38.28444444,-122.4575
California,Space Flight Operations Facility,Control room at Jet Propulsion Laboratory where all NASA interplanetary and deep space missions are monitored.,34.19944444,-118.1736111
California,Space Launch Complex 10,First built in 1958 to test missiles; it was used to launch space missions from 1963 to 1980. It is now a rare; well-preserved example of the equipment and facilities from that era.,34.76527778,-120.6222222
California,Leland Stanford House,The home of Leland Stanford; Governor of California from 1862 to 1863; U.S. Senator from 1885 to 1893; railroad tycoon; member of the Big Four and founder of Stanford University.,38.57666667,-121.4977778
California,Star of India (bark),A seaworthy iron hulled museum ship in the San Diego Maritime Museum; she is the oldest ship that still sails regularly and the oldest iron hulled merchant ship still floating.,32.71416667,-117.1727778
California,Steedman Estate(Casa del Herrero),Designed by architect George Washington Smith; this 1920s; 11-acre estate is considered one of the finest examples of Spanish Colonial Revival architecture in the United States.,34.43527778,-119.6355556
California,Sutter's Fort,A 19th century agricultural and trade colony; it was known for its connection to the Donner Party; the California Gold Rush; and the formation of Sacramento as well as its proximity to the California Trail and Siskiyou Trails. Now a state park; threatened with closure in 2008.,38.57055556,-121.47
California,Swedenborgian Church,One of California's earliest pure Arts and Crafts buildings; this Swedenborgianism church remains open today with almost no architectural changes.,37.79027778,-122.4458333
California,Tao House,America's only Nobel Prize-winning playwright Eugene O'Neill lived here from 1937 to 1944 while writing his final and most memorable plays: The Iceman Cometh; Long Day's Journey Into Night; and A Moon for the Misbegotten.,37.82583333,-122.0275
California,The Forty Acres,Served as the original headquarters of the United Farm Workers; the first permanent agricultural labor union in the United States.,35.76333333,-119.2875
California,Tule Lake Segregation Center,The largest Japanese American internment camp; it also had the highest security and stayed open longest; even after World War II. The Redress movement in the 1980s and pilgrimages to Tule Lake led to the Civil Liberties Act of 1988.,41.88555556,-121.3738889
California,Twenty-Five-Foot Space Simulator,An 85 foot high stainless-steel cylinder at the Jet Propulsion Laboratory used for testing spacecraft in space-like conditions. Ranger; Surveyor; Mariner; and Voyager spacecraft were all tested in this facility.,34.20083333,-118.1727778
California,Unitary Plan Wind Tunnel,This wind tunnel built in the 1950s allowed commercial and military aircraft as well as the Space Shuttle to be aerodynamically tested.,37.41555556,-122.0597222
California,United States Immigration Station; Angel Island,"The ""Ellis Island of the West"" processed over 1 million Asian immigrants between 1910 and 1940. Now part of Angel Island State Park; it was renovated in 2009.",37.86222222,-122.4202778
California,United States Post Office and Court House (Court House for the Central District of California),Court House,34.055,-118.2425
California,United States Post Office and Court House (James R. Browning U.S. Court of Appeals),Court House,37.77944444,-122.4111111
California,Walker Pass,Joseph Reddeford Walker mapped this pass in 1834 after learning of it from Native Americans. He then led the first immigrant wagon train through it in 1846. This pass significantly contributed to the development of California.,35.66305556,-118.0269444
California,Warner's Ranch,The only trading post between New Mexico and Los Angeles; this ranch developed into a stop on the Butterfield Overland Mail stagecoach line along with nearby Oak Grove. Now a hot springs resort.,33.23861111,-116.6508333
California,Watts Towers,These towers built by Simon Rodia are a superb example of non-traditional vernacular architecture and American Naïve art.,33.93694444,-118.2405556
California,Wawona Hotel and Thomas Hill Studio,Built in 1879 for tourists visiting the Mariposa Grove; this hotel is also where the Hudson River School painter Thomas Hill painted towards the end of his life.,37.53638889,-119.6536111
California,Well No. 4; Pico Canyon Oil Field,Drilled in 1876 to 376 feet (115 m); this was the first commercially successful oil well in California; producing 25 barrels a day (4 m³/d).,34.36944444,-118.6302778
California,Yuma Crossing and Associated Sites,A major crossroads for Alta California as well as the Westward expansion of the United States. It has several archaeological and historical sites; shared with Arizona across the Colorado River; including Fort Yuma and other state parks.,32.72916667,-114.6152778
Alaska,Adak Army Base and Adak Naval Operating Base,Established in 1942 as part of World War II; this military base was the launching pad for the American attack on the Japanese-held Aleutian Islands of Kiska and Attu.,51.87194444,-176.6361111
Alaska,Alaska Native Brotherhood Hall,This 1914 meeting hall and headquarters building served the original chapter of Alaska Native Brotherhood; founded by Tlingits in the early 1900s to fight discrimination and represent interests of natives.,57.05083333,-135.3411111
Alaska,American Flag Raising Site,In 1867; site of Russian flag lowering and American flag raising marking the transfer of Alaska to the U.S.; in 1959; after Alaska admitted as 49th state; site of first official raising of 49-star U.S. flag; also known as Castle Hill and Baranof Castle.,57.04861111,-135.3377778
Alaska,Anangula Site,Site of earliest signs of human occupation in the Aleutian Islands.,53.00055556,-168.9111111
Alaska,Attu Battlefield and U.S. Army and Navy Airfields on Attu,Site of bloody battle in which only 29 of 2;500 Japanese survived; only battle on U.S. soil during World War II.,52.90055556,172.9094444
Alaska,Bering Expedition Landing Site,Site of first recorded contacts between natives and Europeans,59.89444444,-144.4855556
Alaska,Cape Nome Mining District Discovery Sites,Significant for role in the history of gold mining in Alaska,64.56361111,-165.3713889
Alaska,Chilkoot Trail and Dyea Site,Major access route from the coast to Yukon goldfields in the late 1890s.,59.58722222,-135.3322222
Alaska,Church of the Holy Ascension,Built in 1826 by the Russian American Fur Company to help acclimate indigenous population in Russian Alaska.,53.87583333,-166.5363889
Alaska,Dutch Harbor Naval Operating Base and Fort Mears; U.S. Army,Only US fortifications in the Aleutian Islands prior to WWII; attacked by the Japanese Navy during the Battle of Dutch Harbor in June 1943.,53.88777778,-166.5397222
Alaska,Eagle Historic District,Historic district with over 100 well-preserved buildings from the Gold Rush years on the Yukon River. Roald Amundsen announced his successful traverse of the Northwest Passage from here in 1905,64.78611111,-141.2
Alaska,Fort Glenn,Well preserved World War II defense base.,53.3775,-167.89
Alaska,Fort William H. Seward,Last of a series of 11 military posts established in Alaska during the gold rush era,59.22666667,-135.4447222
Alaska,Holy Assumption Orthodox Church,Russian Orthodox church in Kenai; Alaska.,60.55305556,-151.2675
Alaska,Kake Cannery,Built 1912-1940; significant for role in history of salmon canning in Alaska,56.96472222,-133.9255556
Alaska,Kennecott Mines,Site of discovery of copper in 1900 and subsequent mining activities,61.51916667,-142.8413889
Alaska,Japanese Occupation Site; Kiska Island,Site of the Japanese occupation of Kiska which along with nearby Attu were the only US land occupied by the Japanese during World War II,51.96722222,177.4919444
Alaska,Kodiak Naval Operating Base and Forts Greely and Abercrombie,World War II-related facilities,57.73861111,-152.5047222
Alaska,Ladd Field,Primary role during WWII was major stopping point for the Lend-Lease program.,64.8375,-147.6144444
Alaska,Leffingwell Camp Site,Campsite of geologist and polar explorer Ernest de Koven Leffingwell on Arctic coast of Alaska.,70.18527778,-146.0527778
Alaska,Nenana (river steamboat),River steamboat; only surviving wooden one of this type.,64.83861111,-147.7722222
Alaska,New Russia Site,Site of Russian trading post attacked and destroyed by Tlingit natives.,59.52694444,-139.8266667
Alaska,Old Sitka,Also known as the Redoubt St. Archangel Michael Site; this was the site of a Russian-American Company settlement; established in 1799 and destroyed by Tlingit attack in 1802.,57.12944444,-135.3733333
