address,description,lat,lng
Kern; Alaska ,Kern is a former settlement on the Turnagain Arm in Alaska and a flagstop for the Alaska Railroad; about 71 miles (114 km) north of Seward;[1][2][3] and 13 miles (21 km) east of Sunrise; Alaska.[4] Kern was located near Kern Creek.[1] In 1914 it was the end of the track of the Alaksa Northern Railroad; after which it was purchased by the United States government.[1][5],60.90694444,-149.0780556
Kijik; Alaska ,Kijik is a ghost town in Lake and Peninsula Borough; Alaska; United States.  An Athabascan village that was established on the shores of Lake Clark in the Alaska Range; its population was recorded at 91 in the 1880 United States Census and declined thereafter; falling to approximately 25 individuals by 1904.  Today; the village has been abandoned.  The ghost town is located within the bounds of Lake Clark National Park and Preserve.,60.300135600000004,-154.3225751
King Island (Alaska) ,King Island (Inupiaq: Ugiuvak) (King's Island in early US sources) is an island in the Bering Sea; west of Alaska. It is about 40 miles (64 km) west of Cape Douglas and is south of Wales; Alaska.,64.975,-168.05972219999998
Knik Site ,The Knik Site; also known as the Old Knik Townsite; is the location in Matanuska-Susitna Borough; Alaska that was once home to the largest settlement on Cook Inlet.  The only surviving remnants of the community are a former log roadhouse; now a museum operated by the Wasilla-Knik Historical Society; and a log cabin.  The Knik area had long been a meeting point of Native Alaskans; and in 1898 it became the principal community on Cook Inlet from which goods were shipped into the interior.  In 1916 the Alaska Railroad reached the site of present-day Anchorage; bypassing Knik and leading to Anchorage's growth.  When the railroad reached Wasilla; Knik lost all importance as a transshipment point; and its buildings were either abandoned or moved to one of the other communities.  Knik is located about 13 miles (21 km) southwest of Wasilla.[2],61.4575,-149.7311111
Loring; Alaska ,Loring was established in 1885 with the first post office in the District of Alaska and is a census-designated place (CDP) in Ketchikan Gateway Borough in the U.S. state of Alaska. The population was 4 at the 2010 census;[2] although the number increases in summer months.,55.60305556,-131.6369444
Mary's Igloo; Alaska ,Mary's Igloo (Qawiaraq in Iñupiaq) is an abandoned village located in the Nome Census Area of the Unorganized Borough in the U.S. state of Alaska; now used as a fish camp.  Many former residents and their descendants currently live in nearby Teller or the next largest community; Nome.,65.15,-165.06666669999998
Meehan; Alaska ,,64.2008413,-149.4936733
Ohagamiut; Alaska ,Ohagamiut (Urr’agmiut in Central Alaskan Yup'ik) is an abandoned village along the Kuskokwim River in the Bethel Census Area of the southwestern part of the U.S. state of Alaska; located between Crow Village and Kalskag. It was abandoned in the 1940s as residents relocated to Kalskag; Aniak; Bethel and other towns. The village site is located just 3 miles east of Upper Kalskag.,61.53722222,-160.1977778
Olnes; Alaska ,,65.0741667,-147.66999980000003
Ophir; Alaska ,Ophir[pronunciation?] is an unincorporated area located in the Yukon-Koyukuk Census Area in the U.S. state of Alaska.,63.14472222,-156.51944440000003
Pedro; Alaska ,,59.78722220000001,-154.106111
Port Wakefield; Alaska ,Port Wakefield is a ghost town in the U.S. state of Alaska. It is located on the northeast coast of Raspberry Island in the Kodiak Archipelago; along the western shores of the Gulf of Alaska.,58.04916667,-153.0525
Portage; Anchorage ,"Portage is a ghost town and former settlement on Turnagain Arm in Alaska; about 47 miles (76 km) south of Anchorage.[1] This town was destroyed almost entirely in the 1964 Alaska earthquake when the ground in the area sank about six feet (1.8 m); putting most of the town below high tide level. All that remains today are the ruins of a few buildings and a ""ghost forest"" of trees that died after salt water inundated their root systems. Where there was once a town there is now only a railroad and road junction linking the Seward Highway and the Alaska Railroad to Portage Glacier park and the Anton Anderson Memorial Tunnel; which  leads to Whittier.[2]",60.83694444,-148.985
Prospect Creek; Alaska ,Prospect Creek is a very small settlement approximately 180 miles (290 km) north of present-day Fairbanks and 25 miles (40 km) southeast of present-day Bettles; Alaska. Years ago it was home to numerous mining expeditions and the camp for the building of the Trans-Alaska Pipeline System (TAPS). Today; it is the location of Pump Station 5 (Jim River Station) of the TAPS. Prospect Creek is also home to the United States record for lowest temperature. On January 23; 1971 the record low temperature of −79.8 °F (−62.1 °C) (rounded to −80 °F (−62 °C)) was recorded. Wildlife can be found there even with its extreme changes in temperature; local fauna include anything from black and brown bears to bald eagles. The elevation of Prospect Creek is 643 feet (196 m) above sea level. Nearby Moore Creek is widely known for its gold and quartz mining and sits alongside Prospect Creek in Alaska’s Innoko Mining District (Moorecreek Mining Line; MML). The Innoko Mining District is famous for its findings of large quartz.,66.81333333,-150.6438889
Seaside; Alaska ,,59.67636360000001,-151.4123325
Snettisham; Juneau ,"Snettisham is a locale and former populated place in the City and Borough of Juneau; Alaska; United States.  Based on the mainland coast of Stephens Passage; it is 31 miles (50 km) southeast of the city of Juneau.  The area was named by George Vancouver in 1794;[1] the bay on which Snettisham was located (Port Snettisham) was named for the town of Snettisham in England.[2]  It was established as a gold- and silver-mining camp around 1895; its operations being linked to those in the immediate Juneau area; and it remained a small harbor village until 1926.[3][4]  The United States Department of the Treasury designated Snettisham as one of several of Alaska's ""special"" landing places for vessels carrying ""coal; salt; railroad iron; and other like items in bulk"".  The designation was meant to encourage the construction of facilities to accommodate these shipments; thus stimulating creation and growth of local businesses.[5]",57.98416667,-133.78805559999998
Speel River; Alaska ,,58.213158299999996,-133.6339423
Sulzer; Alaska ,Sulzer; Alaska is a ghost town on Prince of Wales Island in the U.S. state of Alaska. The community centered on a copper mine established by William Sulzer on the shore of Hetta Inlet.[1] Operated by the Alaska Consolidated Mining and Smelting Company;[2] the Jumbo Mine was active from 1907 to 1918 and was one of Alaska's largest copper producers.[3],55.28888889,-132.6208333
Three Saints Bay ,Coordinates: 57°8′8″N 153°29′45″W﻿ / ﻿57.13556°N 153.49583°W﻿ / 57.13556; -153.49583,57.13555556,-153.49583330000002
Tin City; Alaska ,Tin City is an abandoned town except for a nearby minimally manned radar station;   located at 65°33′31″N 167°56′53″W﻿ / ﻿65.55861°N 167.94806°W﻿ / 65.55861; -167.94806Coordinates: 65°33′31″N 167°56′53″W﻿ / ﻿65.55861°N 167.94806°W﻿ / 65.55861; -167.94806 in the Nome Census Area of the U.S. state of Alaska. It is situated at the mouth of Cape Creek; on the Bering Sea coast; 5 miles (8 km) southeast of Cape Prince of Wales on the Seward Peninsula.[1],65.55861111,-167.94805559999998
Unga; Alaska ,Coordinates: 55°11′03″N 160°30′18″W﻿ / ﻿55.18417°N 160.50500°W﻿ / 55.18417; -160.50500Unga is a ghost town on Unga Island in the Aleutians East Borough of the U.S. state of Alaska;[1] about two miles west of Sand Point.  The island's length is 15 miles (24 km).[2]  Unga's altitude is 59 feet (18 m).[1],55.18416667,-160.505
York; Alaska ,York was a settlement in the U.S. state of Alaska. The mining camp was situated at the mouth of Anikovik River; at Cape York on the Seward Peninsula. It was a distributing point for the region lying to the north. In the spring of 1900; York promised to be a place of importance; but in the early fall; its population had been reduced to about 20-30. The settlement included a number of log cabins and half a dozen substantial frame buildings. During the stormy months of the fall; landing at York was difficult. It was reached overland with horses from Port Clarence. Fifteen miles to the west of York; at Cape Prince of Wales; is the city of Kengegan (Wales); which is the westernmost settlement on the North American continent.[1] York is about 80 miles (130 km) from Nome and 45 miles (72 km) from Port Clarence. The lack of shelter from southerly storms made the landing at York during the fall months often both difficult and dangerous.[2] The post office established here in April 1900 was discontinued in 1902.[3],65.49388889,-167.6838889
American Flag; Arizona ,American Flag is a ghost town in Pinal County; Arizona; five miles southeast of Oracle. The town was established in the late 1870s but shortly after 1890; the town had become abandoned.,32.58,-110.72027779999999
Castle Dome Landing; Arizona ,Castle Dome Landing; Arizona (also Castle Dome City) is a ghost town in the Castle Dome Mountains of Yuma County in the U.S. state of Arizona. It was first settled as a transport depot and mining camp around 1863 in what was then the Arizona Territory.[2][3][4],32.965,-114.46361110000001
Fairbank; Arizona ,Fairbank is a ghost town in Cochise County; Arizona; next to the San Pedro River. First settled in 1881; Fairbank was the closest rail stop to nearby Tombstone; which made it an important location in the development of southeastern Arizona. The town was named for Chicago investor Nathaniel Kellogg Fairbank who partially financed the railroad; and was the founder of the Grand Central Mining Company; which had an interest in the silver mines in Tombstone.  Today Fairbank is located within the San Pedro Riparian National Conservation Area (San Pedro RNCA).[1][2][3],31.72305556,-110.18833329999998
Gleeson; Arizona ,Gleeson is a populated place situated in southeastern Cochise County; Arizona.[3] It has an estimated elevation of 4;924 feet (1;501 m) above sea level.[1] The town was first settled as Turquoise[4] in the 1870s in what was then the Arizona Territory; then later re-established as Gleeson in 1900.[2],31.73388889,-109.8297222
Youngberg; Arizona ,Youngberg is a populated place situated in Pinal County; Arizona.[2] Originally called Goldfield due to the nearby gold mines; The Goldfield Post Office was established on October 7; 1893 with James L Patterson as its first Postmaster.[3] This was the same year that George U. Young arrived. After his arrival; the community also became known as Youngsberg. When the gold mines closed in 1897 the post office soon followed in 1898.[3][4] The town depopulated; before a new small community developed; and became known under its current name; which was in honor of Young; who was the Secretary for the Arizona Territory from 1909 to 1910. The Youngberg Post Office opened in 1920; and remained until 1926. It has an estimated elevation of 2;024 feet (617 m) above sea level.[1],33.45888889,-111.4872222
Jerome; Arizona ,,34.74888889,-112.11388889999999
Oatman; Arizona ,Oatman is a village in the Black Mountains of Mohave County; Arizona; United States. Located at an elevation of 2;710 feet (830 m); it began as a small mining camp soon after two prospectors struck a $10 million gold find in 1915; though the vicinity had already been settled for a number of years. Oatman's population grew to more than 3;500 in the course of a year.,35.02638889,-114.38361110000001
Paradise; Arizona ,Paradise is a ghost town in Cochise County in the U.S. state of Arizona. The town was settled in 1901 in what was then the Arizona Territory.,31.93472222,-109.2188889
Ruby; Arizona ,Ruby is a populated place in Santa Cruz County; Arizona; United States.  It was founded as a mining town in Bear Valley; originally named Montana Camp; so named because the miners were mining at the foot of Montana Peak.,31.46111111,-111.2375
Tombstone; Arizona ,,31.71583333,-110.0647222
Santa Claus; Arizona ,,35.33666667,-114.2163889
Vulture City; Arizona ,Vulture City is a ghost town situated at the site of the defunct Vulture Mine in Maricopa County; Arizona; United States.,33.87888889,-112.795
Bara-Hack; Connecticut ,Bara-Hack is a former village in the town of Pomfret; Connecticut.,41.88,-72.01111111
Dudleytown; Connecticut ,Dudleytown; was founded as a small settlement in Cornwall; Connecticut in the mid-1740s[1] and was abandoned in the 1800s.  Since the mid-1920s; the land occupied by the village has been maintained by philanthropists as a private land trust; who worked to reforest the land after decades of agricultural use.  Few traces; such as cellar holes; remain of the original village.  Due to rumors of ghost activity beginning in the 1980s; the village site has been subject to frequent vandalism; and the owners have since closed the land to the public.[2],41.80777778,-73.35222222
Gay City State Park ,Gay City State Park is a public recreation area on the Blackledge River in the towns of Hebron and Bolton; Connecticut.[3] The state park occupies 1;569 acres (635 ha) bordering Meshomasic State Forest and is accessible from State Route 85. In addition to its deep forest; millpond; and marshland; the park bears trace remnants (foundations; stone walls; and ditches) of the mill town that occupied the site for most of the 19th century. The park is managed by the Connecticut Department of Energy and Environmental Protection. ,41.72611111,-72.44
Pleasure Beach ,Pleasure Beach is the Bridgeport portion of a Connecticut barrier beach that extends 2-1/2 miles westerly from Point No Point (the portion in the adjoining town of Stratford is known as Long Beach). Prior to June; 2014; when Pleasure Beach re-opened; the area was Connecticut's largest and most recent ghost town[1] and abandoned in the late 1990s after a fire on the bridge connecting it to the mainland. It is surrounded on three sides by water (Lewis Gut to the north; Bridgeport Harbor to the west; and Long Island Sound to the south).,41.16111111,-73.16805556
Banning; Delaware ,Banning; Delaware; USA was a stop in Cedar Creek Hundred on the now defunct Queen Anne's Railroad line between Ellendale and Greenwood positioned at the NE corner of what now is Road 44/Blacksmith Shop Road[1] and Delaware Route 16/Beach Highway. After the railroad closed down and the tracks were removed; all Banning; Delaware property owned by the railroad was returned to Mark L. Banning; its previous landowner. A small town built around the Banning; Delaware stop disappeared.,38.80611111,-75.51638889
Glenville; Delaware ,Glenville is a ghost town in Delaware; United States; at 39°42′45″N 75°38′24″W﻿ / ﻿39.71250°N 75.64000°W﻿ / 39.71250; -75.64000. The community consisted of a development on Bread and Cheese Island; on the east bank of the Red Clay Creek near its mouth; just south of Delaware Route 4 near Stanton. Located in the floodplain for Red Clay Creek; the subdivision has always been prone to flooding; such as flooding from Hurricane Floyd in 1999 and Tropical Storm Henri in 2003. After floods caused by Tropical Storm Henri on September 15; 2003; homeowners were bought out by the state and local government; and the community was abandoned in 2004. Demolition began in 2005.[2],39.7125,-75.64
New Market; Delaware ,New Market was a small town in the U.S. state of Delaware located between Ellendale and Milton.  At the current crossroads of Holly Tree Road and Reynolds Pond Road just east of Ellendale was the New Market Church; around which the town was located.,38.80722222,-75.39694444
Owens Station; Delaware ,Owens Station; Delaware was a community in Delaware; U.S.A.[2],38.80555556,-75.52611111
Saint Johnstown; Delaware ,Saint Johnstown; Delaware; USA was a stop on the now defunct Queen Anne's Railroad line between Ellendale and Greenwood. After the railroad closed down and the tracks were removed; all property owned by the railroad was returned to its previous landowners and several small towns built around the stops disappeared.,38.805,-75.57555556
Zwaanendael Colony ,"Zwaanendael or Swaanendael /ˈzwɑːnəndɛl/ was a short-lived Dutch colonial settlement in Delaware. It was built in 1631. The name is archaic Dutch for ""swan valley."" The site of the settlement later became the town of Lewes; Delaware.",38.775,-75.13944444
Apua; Hawaii ,ʻĀpua was an ancient village in the Puna district on the southern coast of the Island of Hawaiʻi in the Hawaiian Islands. A small fishing village was located at about 19°15′41″N 155°11′46″W﻿ / ﻿19.26139°N 155.19611°W﻿ / 19.26139; -155.19611Coordinates: 19°15′41″N 155°11′46″W﻿ / ﻿19.26139°N 155.19611°W﻿ / 19.26139; -155.19611; an elevation about 59 feet (18 m) above sea level.[1]The village was destroyed by a tsunami following the April 2; 1868 Hawaii earthquake and never resettled.[2][3],19.26138889,-155.1961111
Kalapana; Hawaii ,Kalapana is a town and a region in the Puna District on the Island of Hawaiʻi in the Hawaiian Islands.[1] The town was the original location of the Star of the Sea Painted Church.,19.36666667,-154.95
Mana; Hawaii ,,22.0380556,-159.7722221
Mahukona Light , Māhukona is a former settlement on the island of Hawaiʻi. The extinct submerged volcano Māhukona; off shore and to the south; is named for this area. The settlement was once the terminus of the Hawaiian Railroad.,20.16666667,-155.9
Waialee; Hawaii ,,21.6882558,-158.0272106
Anita; Indiana ,Anita is an extinct town in Hensley Township; Johnson County; Indiana; United States.,39.42583333,-86.19138889
Baltimore; Indiana ,Baltimore was a small town built on the western banks of the Wabash River in Mound Township; Warren County; in the U.S. state of Indiana.,40.16583333,-87.44194444
Barbersville; Indiana ,Barbersville was an unincorporated town in Shelby Township; Jefferson County; Indiana. Nothing remains of its few buildings.,38.82583333,-85.33833333
Beeville; Indiana ,Coordinates: 40°13′18″N 86°47′24″W﻿ / ﻿40.221570°N 86.790090°W﻿ / 40.221570; -86.790090,40.22166667,-86.79
Berlin; Indiana ,"Berlin is an extinct town in Johnson Township; Clinton County; Indiana in the United States.  Platted in 1847 on Indian Prairie near the southeast corner of the township; the town faded during the 19th century and by the early 1900s was ""off the map"".[1]",41.6565508,-87.51950790000001
Brisco; Indiana ,Brisco (or Briscoe) was a small town in Pine Township; Warren County; in the U.S. state of Indiana.  It began in the 1850s and gained a one-room school in 1856; which operated until 1929.  In 1930 the school building became a general store run for more than 50 years by local resident Jim Marquess.  Never more than a tiny hamlet; Brisco almost entirely disappeared during the 20th century and now no longer appears on county maps; though the USGS cites it;[2] and a cemetery northeast of town still bears the name.,40.41111111,-87.35833333
Chatterton; Indiana ,"Chatterton was a small town in Adams Township; Warren County; in the U.S. state of Indiana.  It was founded in 1896 and included a school; a general store; and a post office that operated from 1900 to 1906.[2]  Though it has since dwindled away completely; the location of the town still persists on county maps; and is cited by the USGS.[3]  The mailbox for the single house remaining at the site has ""Chatterton"" stenciled on it.",40.40361111,-87.23972222
Chesapeake; Indiana ,Chesapeake was the first town in Steuben Township; Warren County; Indiana; which was formed in 1834.  It was located about two miles east of present-day town of Marshfield and was the site of the first meetings of the township trustees in the 1830s.  County Agent Luther Tillotson lived south of the town and may have had some involvement in its creation.  Chesapeake consisted of at least several houses; a country store operated by William Newell and Thomas Washburn; and a blacksmith shop.  There was also a school house there named for the town for many years; but this also is gone.,40.23333333,-87.43333333
Collins; Indiana ,Collins is an unincorporated community in Smith Township; Whitley County; in the U.S. state of Indiana.[3] It is commonly referred to as a 'ghost town'; however this is untrue; Collins just has a very low population and contains an abandoned school.,41.1975,-85.38666667
Conrad; Indiana ,Conrad is an unincorporated community in Lake Township; Newton County; in the U.S. state of Indiana.[2],41.105,-87.44333333
Corwin; Henry County; Indiana ,Corwin was a small settlement in Henry County; Indiana; United States.  Established in the mid 19th century; the site was little more than a station along the Pittsburg; Cincinnati and St. Louis Railway and never saw significant development.  Though the railroad (now operated as the Connersville and New Castle Railroad) still persists; no other trace of Corwin remains.,39.88333333,-85.28333333
Corwin; Tippecanoe County; Indiana ,Corwin was a small town; now extinct; in Randolph Township; Tippecanoe County; in the U.S. state of Indiana.,40.25138889,-86.91444444
Dresser; Indiana ,"Dresser was a small town in Steuben Township; Warren County; in the U.S. state of Indiana. It was founded shortly before the turn of the 20th century and consisted of several residences and a post office.  The post office operated only from 1899 to 1903.[1]  The town was named after Paul Dresser; the American songwriter who wrote ""On the Banks of the Wabash; Far Away"" (which became Indiana's state song); Harvey Porter Layton; the first postmaster; had met Dresser at the Hotel Mudlavia and was so impressed with the man that he named the town after him.",40.19888889,-87.44972222
Dunn; Indiana ,Dunn is an extinct town in Hickory Grove Township; Benton County; Indiana; United States.  Named for Capt. James Dunn;[3] it stands about one and a half miles east of Dunnington.  In the 1920s it had two general stores; a grain elevator and about half a dozen residences.[4] The post office at Dunn was established in 1907 and discontinued in 1913.[5][6],40.56388889,-87.46388889
Elkinsville; Indiana ,Elkinsville is an unincorporated community in Van Buren Township; Brown County; Indiana; United States. It was once a thriving farming village; but was evacuated during the construction of nearby Lake Monroe Reservoir by eminent domain in 1964. All that remains of Elkinsville today are some private residences; the Elkinsville Cemetery; and post office. The area is part of Hoosier National Forest.,39.07611111,-86.26472222
Elizabethtown; Delaware County; Indiana ,Elizabethtown was a small; now extinct town in northern Delaware County in Washington Township; Delaware County; Indiana.  The town was platted in the early 19th century and was located along the north bank of the Mississinewa river in section 12; of Washington Township; in Delaware County; Indiana.[1],40.37472222,-85.46111111
Glen Hall; Indiana ,Glen Hall is a small unincorporated community in Wayne Township; Tippecanoe County; in the U.S. state of Indiana.[2],40.35416667,-87.04083333
Granville; Indiana ,Granville is a former town in Wayne Township; Tippecanoe County; in the U.S. state of Indiana.,40.40694444,-87.03138889
Heath; Indiana ,Heath was a small town; now extinct; in Perry Township; Tippecanoe County; in the U.S. state of Indiana.,40.46138889,-86.73333333
Hindostan Falls; Indiana ,Hindostan Falls is an extinct unincorporated community in Center Township; Martin County; in the U.S. state of Indiana.[3],38.62444444,-86.85083333
Kickapoo; Indiana ,Kickapoo was a small town (now extinct) in Warren Township; Warren County; in the U.S. state of Indiana.,40.33,-87.23305556
Locust Grove; Warren County; Indiana ,"Locust Grove was a small town (now extinct) in Prairie Township; Warren County; in the U.S. state of Indiana; located three miles northeast of Tab.  A 1913 history describes the town's population as ""less than a hundred""; but all that remains at the site is the Locust Grove Church; Locust Grove Cemetery and a few homes.",40.44055556,-87.43472222
Marshfield; Scott County; Indiana ,Marshfield is an extinct town in Vienna Township; Scott County; in the U.S. state of Indiana; about three miles northwest of Scottsburg.  The GNIS classifies it as a populated place.[2],38.70916667,-85.78166667
Mortonsville; Indiana ,Mortonsville; also known as Martinsville;[1] is an extinct small town in Forest Township; Clinton County; Indiana in the United States.  In 1860 it gained a post office with Martin Davis as the first postmaster and; though on a contract route and not appearing in the official list of U.S. post offices; served the community for a number of years.,40.35,-86.31666667
Mollie; Indiana ,"Mollie is an extinct American village in Blackford County; Indiana; that flourished during the Indiana Gas Boom from the 1880s until the 1920s. The region around Mollie experienced an economic ""boom"" period because of the discovery of gas and crude oil. Mollie was a stop along the Fort Wayne; Cincinnati; and Louisville Railroad—and happened to be near the region's oil fields; a convenient location for the area's oil workers.",40.50833333,-85.315
Monument City; Huntington County; Indiana ,Monument City is a former settlement in Huntington County; Indiana.,40.75,-85.58333333
Point Pleasant; Indiana ,"Point Pleasant was a small village (now extinct) in Pine Township; Warren County; Indiana; located about a mile and a half southwest of Rainsville near the confluence of Big Pine Creek and Mud Pine Creek; a site currently known as Rocky Ford.  It was laid out by one John H. Bartlett and platted July 14; 1830; but never grew; and consisted only of Bartlett's residence; a liquor store and perhaps a saw mill.  An 1883 county history describes Point Pleasant; but notes that ""this was a paper town only.""",40.39722222,-87.33
Prairieville; Indiana ,Prairieville is an extinct town in Perry Township; Clinton County; Indiana; in the United States.  About five miles west of the town of Manson; it was abandoned during the 19th century.[1],40.395917,-86.2158483
Quaker; Indiana ,Quaker (or Quaker Point) is an unincorporated community in Vermillion Township; Vermillion County; in the U.S. state of Indiana.[2],39.86333333,-87.52777778
Randall; Indiana ,Randall is a former town in Helt Township; Vermillion County; in the U.S. state of Indiana.[2]  Randall is also 1.6 miles northwest of another extinct town: Toronto; on W County Road 700 S. The nearest extant community is the town of Dana; to the northeast.,39.775,-87.5225
Renner; Indiana ,Renner is an extinct American village in Indiana's Blackford County.[3]  Although Renner has been listed as a “populated place” by the U.S. Geological Survey;[4] this description is misleading.[citation needed]  Renner was a railroad stop on the Pittsburgh; Cincinnati and St. Louis Railroad.  The land around the railroad stop was originally used to supply timber for railroad crossties; and eventually became a livestock farm.  Housing for the families of the employees of the livestock farm was also located nearby.  Although it is not known for certain; Renner is thought to have been named for railroad executive John W. Renner.[5]  Renner was an executive of the Pittsburgh; Cincinnati and St. Louis Railroad; and later the Pennsylvania Railroad; and retired with over 50 years of railroad experience.[6]  Another community; Rennerdale; Pennsylvania; was named in his honor in 1895.[7][8],40.47222222,-85.43138889
Sheff; Indiana ,Sheff was the name of an interlocking tower that controlled the crossing of the New York Central (NYC) railroad and the NYC subsidiary; Big Four (CCC&StL) railroad.  It no longer exists. The site is in Benton County; Indiana; United States.,40.70416667,-87.44888889
Sloan; Indiana ,Sloan is an extinct town that was located on the border of Jordan Township and Steuben Township in Warren County; Indiana; less than a mile east of the town of Hedrick.,40.30166667,-87.47611111
Springville; Clark County; Indiana ,,38.4275,-85.68694444
Stringtown; Fountain County; Indiana ,Stringtown; or String Town; was a small mining settlement near Snoddy's Mill (now Coal Creek) in Wabash Township; Fountain County; Indiana in the United States.  An 1881 history of the county offers the following brief description:[1],40.04138889,-87.38055556
Toronto; Indiana ,Toronto is an extinct town in Helt Township; Vermillion County; in the U.S. state of Indiana. The site is near the Illinois and Indiana border.,39.78166667,-87.49555556
Tremont; Indiana ,Tremont; Indiana; is a ghost town formerly located in what is now the Indiana Dunes State Park and Indiana Dunes National Park in Westchester Township in northern Porter County; Indiana.  It was first established in 1833.  It was located at the intersection of U.S. Highway 12 and County Road 100 East; near Indiana 49. The community is named for three massive sand dunes that are now contained within the State park.  They are Mount Tom (200 feet (61 m) above the surrounding area); Mount Holden 170 feet (52 m); and Mount Green 160 feet (49 m).[1],41.64861111,-87.04361111
Vermont; Indiana ,"Vermont is an unincorporated community in Howard Township; Howard County; Indiana; United States platted in January 1848. The founders also then already had a store set up in Vermont.[3] In the late 19th century it was a German campground.[4] Vermont was in the flooding zone when the Wildcat Creek Reservoir was constructed in 1957; and it never recovered from that. Vermont was once the home of the ""Vermont Covered Bridge"" which now sits in Highland Park in Kokomo; Indiana.[5]  It is part of the Kokomo Metropolitan Statistical Area.",40.49916667,-86.03194444
